,Feature,Importance
81,"Condition_gebraucht, gereinigt & geprüft",0.22581291
79,Condition_gebraucht,0.21302941
5,Category_Baustoffe & Werkzeuge,0.085691
143,Material_Glass,0.045130163
134,Subcategory_Zubehör,0.04297452
87,Condition_used & cleaned,0.03462719
1,Quantity,0.034318257
8,Category_Sonstiges,0.034076065
0,LastPrice,0.03101894
150,Material_Mixed,0.024261637
71,Swiss_Raw_Wash troughs,0.02421373
125,Subcategory_WCs - Toiletten,0.023372909
129,Subcategory_Waschtisch & Lavabos,0.022787193
11,Swiss_Raw_Arrises,0.02230812
3,Width,0.018453695
139,Material_Ceramic,0.016879573
161,Material_Wood,0.016522916
2,Length,0.016269661
147,Material_Metal,0.016142812
88,"Condition_used, cleaned & tested",0.011746336
59,Swiss_Raw_Sedge,0.010390869
4,Category_Ausbau,0.008987119
86,Condition_used,0.0075416495
7,Category_Gebäudetechnik & Sanitär,0.006787449
83,Condition_like new,0.004987246
89,Subcategory_Apparate & Geräte,0.0008629335
95,Subcategory_Baustoffe,0.0008057326
121,Subcategory_Tore,0.0
115,Subcategory_Möbel,0.0
116,Subcategory_Oberlichter,0.0
117,Subcategory_Sonstiges,0.0
118,Subcategory_Spülen,0.0
119,Subcategory_Steinbeläge,0.0
120,Subcategory_Tanks & Speicher,0.0
122,Subcategory_Treppen & Rampen,0.0
113,Subcategory_Läden & Storen,0.0
123,Subcategory_Verkleidung,0.0
124,Subcategory_WC-Anlagen,0.0
16,Swiss_Raw_Control and protection devices,0.0
126,Subcategory_Wandfenster,0.0
127,Subcategory_Waschküche & Trocknen,0.0
128,Subcategory_Waschküche & Trockner,0.0
114,Subcategory_Mauern,0.0
112,Subcategory_Leuchten & Lampen,0.0
130,Subcategory_Weitere nutzungsspezifische Anlage,0.0
111,Subcategory_Klingelanlagen,0.0
110,Subcategory_Keramikbeläge,0.0
109,Subcategory_Innentüren,0.0
108,Subcategory_Holzbeläge,0.0
107,Subcategory_Heizkörper,0.0
106,Subcategory_Geländer,0.0
105,Subcategory_Gastroküche & Gastroartikel,0.0
104,Subcategory_Fertigteile & Geräte,0.0
103,Subcategory_Fassade,0.0
102,Subcategory_Elektrogerät,0.0
101,Subcategory_Elastische Beläge,0.0
100,Subcategory_Einrichtungen,0.0
99,Subcategory_Einbauküchen,0.0
98,Subcategory_Dämmung,0.0
15,Swiss_Raw_Conference tables,0.0
131,Subcategory_Werkzeug,0.0
96,Subcategory_Dachfenster,0.0
157,Material_Steel,0.0
151,Material_Natural stone,0.0
152,Material_Naturstein,0.0
153,Material_Plastic,0.0
154,Material_Similar,0.0
155,Material_Stahl,0.0
156,Material_Stainless steel,0.0
158,Material_Stone,0.0
149,Material_Miscellaneous,0.0
159,Material_Tarpaulin,0.0
160,Material_Textile,0.0
6,Category_Gebäudehülle & Konstruktion,0.0
162,Material_gemischt,0.0
163,Energy_Efficiency_A,0.0
164,Energy_Efficiency_C,0.0
9,Category_Umgebung,0.0
148,Material_Metall,0.0
132,Subcategory_Wände,0.0
13,Swiss_Raw_Built-in gas hobs,0.0
133,Subcategory_Wärmeerzeugung,0.0
14,Swiss_Raw_Cladding support products,0.0
135,Subcategory_Öfen & Cheminées,0.0
136,Material_Aluminum,0.0
137,Material_Artificial stone,0.0
138,Material_Cardboard,0.0
140,Material_Chrome steel,0.0
10,Swiss_Raw_Aluminium trusses,0.0
141,Material_Compound,0.0
142,Material_Glas,0.0
12,Swiss_Raw_Bidets,0.0
144,Material_Hardwood,0.0
145,Material_Keramik,0.0
146,Material_Kunststoff,0.0
97,Subcategory_Dachhaut,0.0
25,Swiss_Raw_Fermenters,0.0
26,Swiss_Raw_Gas bains-marie,0.0
50,Swiss_Raw_Pleated blinds,0.0
44,Swiss_Raw_Needle-punched polyester linen,0.0
45,Swiss_Raw_Paper bales,0.0
46,Swiss_Raw_Paper towel dispensers,0.0
47,Swiss_Raw_Pedestal washbasins,0.0
48,Swiss_Raw_Pendant luminaires,0.0
49,Swiss_Raw_Plastics skirtings,0.0
51,Swiss_Raw_Pliable conduit,0.0
24,Swiss_Raw_Dovecotes,0.0
52,Swiss_Raw_Printers,0.0
53,Swiss_Raw_Quarry tile sit-on skirtings,0.0
54,Swiss_Raw_Rectifiers,0.0
55,Swiss_Raw_Runners,0.0
56,Swiss_Raw_Sample coolers,0.0
57,Swiss_Raw_Scagliola,0.0
43,Swiss_Raw_Metal sways,0.0
42,Swiss_Raw_Metal newel posts,0.0
41,Swiss_Raw_Meeting booths,0.0
40,Swiss_Raw_Mail equipment,0.0
39,Swiss_Raw_Linen-backed lining papers,0.0
38,Swiss_Raw_Letter boxes,0.0
37,Swiss_Raw_Lecterns,0.0
36,Swiss_Raw_Lacquers,0.0
35,Swiss_Raw_Kitchenette units,0.0
34,Swiss_Raw_Kitchen splashbacks,0.0
33,Swiss_Raw_Joist seals,0.0
32,Swiss_Raw_Heat-resisting coatings,0.0
31,Swiss_Raw_Hand dryers,0.0
30,Swiss_Raw_Grommets,0.0
29,Swiss_Raw_Glass fins,0.0
28,Swiss_Raw_Glass fibre fleeces,0.0
27,Swiss_Raw_Gas meters,0.0
58,Swiss_Raw_Sectional products,0.0
60,Swiss_Raw_Silver plating,0.0
94,Subcategory_Baumaschinen,0.0
85,Condition_neuwertig,0.0
22,Swiss_Raw_Disc filters,0.0
80,Condition_gebraucht & gereinigt,0.0
21,Swiss_Raw_Diplexers,0.0
82,Condition_gereinigt & geprüft,0.0
20,Swiss_Raw_Desks,0.0
84,Condition_mixed,0.0
19,Swiss_Raw_Cutlery,0.0
61,Swiss_Raw_Smoke dampers,0.0
18,Swiss_Raw_Cover caps,0.0
17,Swiss_Raw_Countertop washbasins,0.0
90,Subcategory_Armaturen,0.0
91,Subcategory_Aussentüren,0.0
92,Subcategory_Badewanne & Dusche,0.0
93,Subcategory_Badezimmermöbel,0.0
78,Condition_defekt,0.0
77,Condition_defective,0.0
76,Condition_cleaned & tested,0.0
75,Swiss_Raw_Whiteboards,0.0
74,Swiss_Raw_Washing products,0.0
73,Swiss_Raw_Washers,0.0
72,Swiss_Raw_Washbasin spouts,0.0
23,Swiss_Raw_Domestic cooking equipment,0.0
70,Swiss_Raw_Vermicides ,0.0
69,Swiss_Raw_Trellises,0.0
68,Swiss_Raw_Towels,0.0
67,Swiss_Raw_Suspended luminaires,0.0
66,Swiss_Raw_Stilling tubes,0.0
65,Swiss_Raw_Stage curtains,0.0
64,Swiss_Raw_Sprinklers,0.0
63,Swiss_Raw_Sprigs,0.0
62,Swiss_Raw_Sound damping coatings,0.0
165,"second_level_Covering, Finish",0.0
